name,email,role,job_level,Manager,Start_date,nationality,residence,Gender,business_group,staff_id,username,position,position_level,styles,industries,software,citizenship,date_of_mobility,previous_role,previous_manager,previous_job_level,previous_functional_group
Paislee Krueger,paislee.krueger@domain.com,Senior AP/AR Associate,2b,Gwendolyn Powell,04-04-22,Argentina,Argentina,Female,Business Function,10003,paislee.krueger,CORE,4,,[Other],[],Argentina,24-09-23,Finance Associate,,,Business Function
Paislee Krueger,paislee.krueger@domain.com,Senior AP/AR Associate,2b,Gwendolyn Powell,04-04-22,Argentina,Argentina,Female,Business Function,10003,paislee.krueger,CORE,4,,[Other],[],Argentina,05-04-24,Senior AP/AR Associate,,1b,Business Function
Paislee Krueger,paislee.krueger@domain.com,Senior AP/AR Associate,2b,Gwendolyn Powell,04-04-22,Argentina,Argentina,Female,Business Function,10003,paislee.krueger,CORE,4,,[Other],[],Argentina,28-05-24,Senior AP/AR Associate,,2b,Business Function
Jones Shepard,jones.shepard@domain.com,Senior Product Manager,4a IC,Dani Skinner,01-04-24,Hungary,Hungary,Male,Business Function,10004,jones.shepard,ADMIN,4,"[Minimalistic, Corporate, Modern]","[Finance, Technology, Corporate]",[Other],Hungary,01-07-24,Senior Product Manager,Gwendolyn Peck,4a IC,Business Function
Noor Lowery,noor.lowery@domain.com,Creative,2a,Helena Quinn,03-05-21,Malaysia,Malaysia,Female,Creative,10005,noor.lowery,SPECIALIST,1,[Other],[Film],[Other],Malaysia,28-09-21,Graphic Designer,,1,Creative
Noor Lowery,noor.lowery@domain.com,Creative,2a,Helena Quinn,03-05-21,Malaysia,Malaysia,Female,Creative,10005,noor.lowery,SPECIALIST,1,[Other],[Film],[Other],Malaysia,22-11-21,Graphic Designer,,2,Creative
Noor Lowery,noor.lowery@domain.com,Creative,2a,Helena Quinn,03-05-21,Malaysia,Malaysia,Female,Creative,10005,noor.lowery,SPECIALIST,1,[Other],[Film],[Other],Malaysia,01-02-23,Creative,Helena Quinn,2,Creative
Noor Lowery,noor.lowery@domain.com,Creative,2a,Helena Quinn,03-05-21,Malaysia,Malaysia,Female,Creative,10005,noor.lowery,SPECIALIST,1,[Other],[Film],[Other],Malaysia,05-06-23,Creative,Helena Quinn,2,Creative
Noor Lowery,noor.lowery@domain.com,Creative,2a,Helena Quinn,03-05-21,Malaysia,Malaysia,Female,Creative,10005,noor.lowery,SPECIALIST,1,[Other],[Film],[Other],Malaysia,24-09-23,Creative,Helena Quinn,2,Creative
Noor Lowery,noor.lowery@domain.com,Creative,2a,Helena Quinn,03-05-21,Malaysia,Malaysia,Female,Creative,10005,noor.lowery,SPECIALIST,1,[Other],[Film],[Other],Malaysia,25-09-23,Creative,Helena Quinn,1b,Creative
Jaxxon Webster,jaxxon.webster@domain.com,Customer Success Manager,2a,Mira Gaines,08-01-24,India,India,Male,Business Function,10006,jaxxon.webster,PROJECTMANAGER,3,[Other],[Film],[],India,08-01-24,Customer Success Manager,Kai Gates,2a,Business Function
Kensley Banks,kensley.banks@domain.com,Enterprise Business Development Representative,2a,Kendra Anthony,09-01-23,North Macedonia,North Macedonia,Male,Business Function,10007,kensley.banks,SPECIALIST,2,"[Minimalistic, Corporate, Modern]",[Branding],"[Illustrator, Photoshop]",North Macedonia,07-03-23,Marketing Development Representative,Kensley Banks,1,Business Function
Kensley Banks,kensley.banks@domain.com,Enterprise Business Development Representative,2a,Kendra Anthony,09-01-23,North Macedonia,North Macedonia,Male,Business Function,10007,kensley.banks,SPECIALIST,2,"[Minimalistic, Corporate, Modern]",[Branding],"[Illustrator, Photoshop]",North Macedonia,24-09-23,Junior Marketing Development Representative,Kensley Banks,1,Business Function
Kensley Banks,kensley.banks@domain.com,Enterprise Business Development Representative,2a,Kendra Anthony,09-01-23,North Macedonia,North Macedonia,Male,Business Function,10007,kensley.banks,SPECIALIST,2,"[Minimalistic, Corporate, Modern]",[Branding],"[Illustrator, Photoshop]",North Macedonia,28-09-23,Inbound Business Development Representative,Kensley Banks,1a,Business Function
Kensley Banks,kensley.banks@domain.com,Enterprise Business Development Representative,2a,Kendra Anthony,09-01-23,North Macedonia,North Macedonia,Male,Business Function,10007,kensley.banks,SPECIALIST,2,"[Minimalistic, Corporate, Modern]",[Branding],"[Illustrator, Photoshop]",North Macedonia,10-10-23,Inbound Business Development Representative,Kensley Banks,1a,Business Function
Kensley Banks,kensley.banks@domain.com,Enterprise Business Development Representative,2a,Kendra Anthony,09-01-23,North Macedonia,North Macedonia,Male,Business Function,10007,kensley.banks,SPECIALIST,2,"[Minimalistic, Corporate, Modern]",[Branding],"[Illustrator, Photoshop]",North Macedonia,26-10-23,Business Development Representative,Kensley Banks,1a,Business Function
Kensley Banks,kensley.banks@domain.com,Enterprise Business Development Representative,2a,Kendra Anthony,09-01-23,North Macedonia,North Macedonia,Male,Business Function,10007,kensley.banks,SPECIALIST,2,"[Minimalistic, Corporate, Modern]",[Branding],"[Illustrator, Photoshop]",North Macedonia,26-10-23,Business Development Representative,Kensley Banks,1a,Business Function
Kensley Banks,kensley.banks@domain.com,Enterprise Business Development Representative,2a,Kendra Anthony,09-01-23,North Macedonia,North Macedonia,Male,Business Function,10007,kensley.banks,SPECIALIST,2,"[Minimalistic, Corporate, Modern]",[Branding],"[Illustrator, Photoshop]",North Macedonia,05-04-24,Business Development Representative,Kensley Banks,1a,Business Function
Kensley Banks,kensley.banks@domain.com,Enterprise Business Development Representative,2a,Kendra Anthony,09-01-23,North Macedonia,North Macedonia,Male,Business Function,10007,kensley.banks,SPECIALIST,2,"[Minimalistic, Corporate, Modern]",[Branding],"[Illustrator, Photoshop]",North Macedonia,06-06-24,Mid-Market Business Development Representative,Kali Cameron,1a,Business Function
Kensley Banks,kensley.banks@domain.com,Enterprise Business Development Representative,2a,Kendra Anthony,09-01-23,North Macedonia,North Macedonia,Male,Business Function,10007,kensley.banks,SPECIALIST,2,"[Minimalistic, Corporate, Modern]",[Branding],"[Illustrator, Photoshop]",North Macedonia,18-06-24,Senior Mid Market Business Development Representative,Kali Cameron,1b,Business Function
Kensley Banks,kensley.banks@domain.com,Enterprise Business Development Representative,2a,Kendra Anthony,09-01-23,North Macedonia,North Macedonia,Male,Business Function,10007,kensley.banks,SPECIALIST,2,"[Minimalistic, Corporate, Modern]",[Branding],"[Illustrator, Photoshop]",North Macedonia,01-08-24,Senior Mid Market Business Development Representative,Kali Cameron,1b,Business Function
Martin Price,martin.price@domain.com,Creative,2a,Oakley Kramer,02-09-24,Mexico,Mexico,Male,Creative,10008,martin.price,DESIGN_DIRECTOR,4,[],"[Lifestyle, Marketing]","[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",Mexico,,,,,
Piper Zimmerman,piper.zimmerman@domain.com,Production Team Lead,4a Manager,Judah Sandoval,02-11-21,Ecuador,Ecuador,Male,Business Function,10009,piper.zimmerman,SPECIALIST,5,[Original],"[Lifestyle, Marketing]",[PowerPoint],Ecuador,13-09-22,Creative Project Manager,Maia Novak,1,CPM
Piper Zimmerman,piper.zimmerman@domain.com,Production Team Lead,4a Manager,Judah Sandoval,02-11-21,Ecuador,Ecuador,Male,Business Function,10009,piper.zimmerman,SPECIALIST,5,[Original],"[Lifestyle, Marketing]",[PowerPoint],Ecuador,25-11-22,Creative Project Manager,Maia Novak,2,CPM
Piper Zimmerman,piper.zimmerman@domain.com,Production Team Lead,4a Manager,Judah Sandoval,02-11-21,Ecuador,Ecuador,Male,Business Function,10009,piper.zimmerman,SPECIALIST,5,[Original],"[Lifestyle, Marketing]",[PowerPoint],Ecuador,17-03-23,Creative Project Manager,Maia Novak,2,CPM
Piper Zimmerman,piper.zimmerman@domain.com,Production Team Lead,4a Manager,Judah Sandoval,02-11-21,Ecuador,Ecuador,Male,Business Function,10009,piper.zimmerman,SPECIALIST,5,[Original],"[Lifestyle, Marketing]",[PowerPoint],Ecuador,05-06-23,Creative Project Manager,Maia Novak,2,CPM
Piper Zimmerman,piper.zimmerman@domain.com,Production Team Lead,4a Manager,Judah Sandoval,02-11-21,Ecuador,Ecuador,Male,Business Function,10009,piper.zimmerman,SPECIALIST,5,[Original],"[Lifestyle, Marketing]",[PowerPoint],Ecuador,24-09-23,Creative Project Manager,Maia Novak,2,CPM
Piper Zimmerman,piper.zimmerman@domain.com,Production Team Lead,4a Manager,Judah Sandoval,02-11-21,Ecuador,Ecuador,Male,Business Function,10009,piper.zimmerman,SPECIALIST,5,[Original],"[Lifestyle, Marketing]",[PowerPoint],Ecuador,25-09-23,Creative Project Manager,Maia Novak,2b,CPM
Piper Zimmerman,piper.zimmerman@domain.com,Production Team Lead,4a Manager,Judah Sandoval,02-11-21,Ecuador,Ecuador,Male,Business Function,10009,piper.zimmerman,SPECIALIST,5,[Original],"[Lifestyle, Marketing]",[PowerPoint],Ecuador,28-05-24,Creative Project Manager,Maia Novak,3a,CPM
Piper Zimmerman,piper.zimmerman@domain.com,Production Team Lead,4a Manager,Judah Sandoval,02-11-21,Ecuador,Ecuador,Male,Business Function,10009,piper.zimmerman,SPECIALIST,5,[Original],"[Lifestyle, Marketing]",[PowerPoint],Ecuador,03-06-24,Creative Project Manager,Dayton Howard,3a,CPM
Piper Zimmerman,piper.zimmerman@domain.com,Production Team Lead,4a Manager,Judah Sandoval,02-11-21,Ecuador,Ecuador,Male,Business Function,10009,piper.zimmerman,SPECIALIST,5,[Original],"[Lifestyle, Marketing]",[PowerPoint],Ecuador,24-07-24,Creative Project Manager,Dayton Howard,3b,Business Function
Sergio Parrish,sergio.parrish@domain.com,Creative Team Lead,4b Manager,Murphy Costa,17-08-20,Colombia,Colombia,Female,Creative,10010,sergio.parrish,PROJECTMANAGER,4,[Original],"[Lifestyle, Marketing]",[Other],Colombia,18-11-21,Design Director,Scout Watts,7,Creative
Sergio Parrish,sergio.parrish@domain.com,Creative Team Lead,4b Manager,Murphy Costa,17-08-20,Colombia,Colombia,Female,Creative,10010,sergio.parrish,PROJECTMANAGER,4,[Original],"[Lifestyle, Marketing]",[Other],Colombia,13-09-22,Creative Team & Account Lead,Melody Dixon,7,Creative
Sergio Parrish,sergio.parrish@domain.com,Creative Team Lead,4b Manager,Murphy Costa,17-08-20,Colombia,Colombia,Female,Creative,10010,sergio.parrish,PROJECTMANAGER,4,[Original],"[Lifestyle, Marketing]",[Other],Colombia,22-09-22,Creative Team & Account Lead,Melody Dixon,8,Creative
Sergio Parrish,sergio.parrish@domain.com,Creative Team Lead,4b Manager,Murphy Costa,17-08-20,Colombia,Colombia,Female,Creative,10010,sergio.parrish,PROJECTMANAGER,4,[Original],"[Lifestyle, Marketing]",[Other],Colombia,01-02-23,Creative Team & Account Lead,Murphy Costa,8,Creative
Sergio Parrish,sergio.parrish@domain.com,Creative Team Lead,4b Manager,Murphy Costa,17-08-20,Colombia,Colombia,Female,Creative,10010,sergio.parrish,PROJECTMANAGER,4,[Original],"[Lifestyle, Marketing]",[Other],Colombia,05-06-23,Creative Team & Account Lead,Murphy Costa,8,Creative
Sergio Parrish,sergio.parrish@domain.com,Creative Team Lead,4b Manager,Murphy Costa,17-08-20,Colombia,Colombia,Female,Creative,10010,sergio.parrish,PROJECTMANAGER,4,[Original],"[Lifestyle, Marketing]",[Other],Colombia,24-09-23,Creative Team & Account Lead,Murphy Costa,8,Creative
Sergio Parrish,sergio.parrish@domain.com,Creative Team Lead,4b Manager,Murphy Costa,17-08-20,Colombia,Colombia,Female,Creative,10010,sergio.parrish,PROJECTMANAGER,4,[Original],"[Lifestyle, Marketing]",[Other],Colombia,27-09-23,Creative Team & Account Lead,Murphy Costa,4b Manager,Creative
Tiana Michael,tiana.michael@domain.com,Senior Finance Associate,2b,Brantley Davenport,06-02-23,India,South Africa,Female,Business Function,10011,tiana.michael,SPECIALIST,2,,[Branding],"[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",India,14-02-23,Financial Accountant - Reporting Function,Brantley Davenport,,Business Function
Tiana Michael,tiana.michael@domain.com,Senior Finance Associate,2b,Brantley Davenport,06-02-23,India,South Africa,Female,Business Function,10011,tiana.michael,SPECIALIST,2,,[Branding],"[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",India,24-09-23,Financial Accountant - Reporting Function,Brantley Davenport,,Business Function
Bronson Young,bronson.young@domain.com,Creative,2b,Dario Andrade,02-10-23,Argentina,Argentina,Female,Creative,10012,bronson.young,,,[Corporate],[Film],"[Illustrator, Photoshop]",Argentina,23-02-24,Creative,Dario Andrade,2b,Creative
Bronson Young,bronson.young@domain.com,Creative,2b,Dario Andrade,02-10-23,Argentina,Argentina,Female,Creative,10012,bronson.young,,,[Corporate],[Film],"[Illustrator, Photoshop]",Argentina,08-05-24,Creative,Tiffany Shaw,2b,Creative
Zoey Larsen,zoey.larsen@domain.com,Creative,1b,Addison Hoffman,07-03-22,Argentina,Argentina,Male,Creative,10013,zoey.larsen,,,[],[Film],[Other],Argentina,22-06-22,Graphic Designer,Thiago Valentine,2,Creative
Zoey Larsen,zoey.larsen@domain.com,Creative,1b,Addison Hoffman,07-03-22,Argentina,Argentina,Male,Creative,10013,zoey.larsen,,,[],[Film],[Other],Argentina,16-01-23,Creative,,2,Creative
Zoey Larsen,zoey.larsen@domain.com,Creative,1b,Addison Hoffman,07-03-22,Argentina,Argentina,Male,Creative,10013,zoey.larsen,,,[],[Film],[Other],Argentina,01-02-23,Creative,Aniya Manning,2,Creative
Zoey Larsen,zoey.larsen@domain.com,Creative,1b,Addison Hoffman,07-03-22,Argentina,Argentina,Male,Creative,10013,zoey.larsen,,,[],[Film],[Other],Argentina,05-06-23,Creative,Aniya Manning,2,Creative
Zoey Larsen,zoey.larsen@domain.com,Creative,1b,Addison Hoffman,07-03-22,Argentina,Argentina,Male,Creative,10013,zoey.larsen,,,[],[Film],[Other],Argentina,24-09-23,Creative,Aniya Manning,2,Creative
Zoey Larsen,zoey.larsen@domain.com,Creative,1b,Addison Hoffman,07-03-22,Argentina,Argentina,Male,Creative,10013,zoey.larsen,,,[],[Film],[Other],Argentina,01-07-24,Creative,Aniya Manning,1b,Creative
Brycen Cortez,brycen.cortez@domain.com,Senior Lead Frontend Engineer,4b IC,Elaina Mack,01-03-21,"Palestine, Jordan",Palestine,Male,Business Function,10014,brycen.cortez,PROJECTMANAGER,1,[Corporate],[Branding],"[Illustrator, Photoshop]","Palestine, Jordan",12-07-21,Senior Full Stack Engineer,,,Business Function
Brycen Cortez,brycen.cortez@domain.com,Senior Lead Frontend Engineer,4b IC,Elaina Mack,01-03-21,"Palestine, Jordan",Palestine,Male,Business Function,10014,brycen.cortez,PROJECTMANAGER,1,[Corporate],[Branding],"[Illustrator, Photoshop]","Palestine, Jordan",05-05-22,Senior Full Stack Engineer,,3,Business Function
Brycen Cortez,brycen.cortez@domain.com,Senior Lead Frontend Engineer,4b IC,Elaina Mack,01-03-21,"Palestine, Jordan",Palestine,Male,Business Function,10014,brycen.cortez,PROJECTMANAGER,1,[Corporate],[Branding],"[Illustrator, Photoshop]","Palestine, Jordan",01-09-22,Senior Full Stack Engineer,Elaina Mack,3,Business Function
Brycen Cortez,brycen.cortez@domain.com,Senior Lead Frontend Engineer,4b IC,Elaina Mack,01-03-21,"Palestine, Jordan",Palestine,Male,Business Function,10014,brycen.cortez,PROJECTMANAGER,1,[Corporate],[Branding],"[Illustrator, Photoshop]","Palestine, Jordan",13-09-22,Frontend Engineer,,4,Business Function
Brycen Cortez,brycen.cortez@domain.com,Senior Lead Frontend Engineer,4b IC,Elaina Mack,01-03-21,"Palestine, Jordan",Palestine,Male,Business Function,10014,brycen.cortez,PROJECTMANAGER,1,[Corporate],[Branding],"[Illustrator, Photoshop]","Palestine, Jordan",02-01-23,Lead Software Engineer,,4,Business Function
Brycen Cortez,brycen.cortez@domain.com,Senior Lead Frontend Engineer,4b IC,Elaina Mack,01-03-21,"Palestine, Jordan",Palestine,Male,Business Function,10014,brycen.cortez,PROJECTMANAGER,1,[Corporate],[Branding],"[Illustrator, Photoshop]","Palestine, Jordan",24-09-23,Lead Software Engineer,,4,Business Function
Brycen Cortez,brycen.cortez@domain.com,Senior Lead Frontend Engineer,4b IC,Elaina Mack,01-03-21,"Palestine, Jordan",Palestine,Male,Business Function,10014,brycen.cortez,PROJECTMANAGER,1,[Corporate],[Branding],"[Illustrator, Photoshop]","Palestine, Jordan",25-09-23,Lead Software Engineer,,4a IC,Business Function
Brycen Cortez,brycen.cortez@domain.com,Senior Lead Frontend Engineer,4b IC,Elaina Mack,01-03-21,"Palestine, Jordan",Palestine,Male,Business Function,10014,brycen.cortez,PROJECTMANAGER,1,[Corporate],[Branding],"[Illustrator, Photoshop]","Palestine, Jordan",07-08-24,Senior Lead Frontend Engineer,,4b IC,Business Function
Haven Larsen,haven.larsen@domain.com,Creative Lead,4a IC,Thiago Valentine,03-06-24,Egypt,Egypt,Male,Creative,10015,haven.larsen,SPECIALIST,5,,,[],Egypt,,,,,
Brycen Jaramillo,brycen.jaramillo@domain.com,Creative,1a,Avi Barnett,04-07-22,Mexico,Mexico,Male,Creative,10016,brycen.jaramillo,CORE,4,,[Other],[PowerPoint],Mexico,16-01-23,Creative,Avi Barnett,1,Creative
Brycen Jaramillo,brycen.jaramillo@domain.com,Creative,1a,Avi Barnett,04-07-22,Mexico,Mexico,Male,Creative,10016,brycen.jaramillo,CORE,4,,[Other],[PowerPoint],Mexico,01-02-23,Creative,Avi Barnett,1,Creative
Brycen Jaramillo,brycen.jaramillo@domain.com,Creative,1a,Avi Barnett,04-07-22,Mexico,Mexico,Male,Creative,10016,brycen.jaramillo,CORE,4,,[Other],[PowerPoint],Mexico,05-06-23,Creative,Avi Barnett,1,Creative
Brycen Jaramillo,brycen.jaramillo@domain.com,Creative,1a,Avi Barnett,04-07-22,Mexico,Mexico,Male,Creative,10016,brycen.jaramillo,CORE,4,,[Other],[PowerPoint],Mexico,24-09-23,Creative,Avi Barnett,1,Creative
Guadalupe Howe,guadalupe.howe@domain.com,Senior SEO Manager,4b Manager,Leighton May,19-07-21,South Africa,South Africa,Male,Business Function,10017,guadalupe.howe,SPECIALIST,2,[],"[Lifestyle, Marketing]",[Other],South Africa,07-12-22,SEO Manager,Leighton May,,Business Function
Guadalupe Howe,guadalupe.howe@domain.com,Senior SEO Manager,4b Manager,Leighton May,19-07-21,South Africa,South Africa,Male,Business Function,10017,guadalupe.howe,SPECIALIST,2,[],"[Lifestyle, Marketing]",[Other],South Africa,24-09-23,SEO Manager,Leighton May,,Business Function
Guadalupe Howe,guadalupe.howe@domain.com,Senior SEO Manager,4b Manager,Leighton May,19-07-21,South Africa,South Africa,Male,Business Function,10017,guadalupe.howe,SPECIALIST,2,[],"[Lifestyle, Marketing]",[Other],South Africa,04-06-24,SEO Manager,Leighton May,4a Manager,Business Function
Alaric Santos,alaric.santos@domain.com,Producer,3b,Piper Zimmerman,05-02-24,Philippines,Mexico,Female,Business Function,10018,alaric.santos,CORE,5,"[Minimalistic, Corporate, Modern]",[Branding],[PowerPoint],Philippines,27-03-24,Producer,Judah Sandoval,3b,Business Function
Alaric Santos,alaric.santos@domain.com,Producer,3b,Piper Zimmerman,05-02-24,Philippines,Mexico,Female,Business Function,10018,alaric.santos,CORE,5,"[Minimalistic, Corporate, Modern]",[Branding],[PowerPoint],Philippines,08-08-24,Producer,Judah Sandoval,3b,Business Function
Alana Pineda,alana.pineda@domain.com,Creative Project Manager,1a,Cedric Love,12-08-24,"Argentina, Spain",Argentina,Female,CPM,10019,alana.pineda,DESIGN_DIRECTOR,5,"[Minimalistic, Corporate, Modern]","[Finance, Technology, Corporate]",[PowerPoint],"Argentina, Spain",,,,,
Gerardo Perry,gerardo.perry@domain.com,Creative,2b,Helena Quinn,06-09-21,Philippines,Philippines,Female,Creative,10020,gerardo.perry,ADMIN,1,[Other],,[Other],Philippines,22-11-21,Graphic Designer,,3,Creative
Gerardo Perry,gerardo.perry@domain.com,Creative,2b,Helena Quinn,06-09-21,Philippines,Philippines,Female,Creative,10020,gerardo.perry,ADMIN,1,[Other],,[Other],Philippines,01-02-23,Creative,Helena Quinn,3,Creative
Gerardo Perry,gerardo.perry@domain.com,Creative,2b,Helena Quinn,06-09-21,Philippines,Philippines,Female,Creative,10020,gerardo.perry,ADMIN,1,[Other],,[Other],Philippines,05-06-23,Creative,Helena Quinn,3,Creative
Gerardo Perry,gerardo.perry@domain.com,Creative,2b,Helena Quinn,06-09-21,Philippines,Philippines,Female,Creative,10020,gerardo.perry,ADMIN,1,[Other],,[Other],Philippines,24-09-23,Creative,Helena Quinn,3,Creative
Gerardo Perry,gerardo.perry@domain.com,Creative,2b,Helena Quinn,06-09-21,Philippines,Philippines,Female,Creative,10020,gerardo.perry,ADMIN,1,[Other],,[Other],Philippines,25-09-23,Creative,Helena Quinn,2a,Creative
Clara Gardner,clara.gardner@domain.com,Director of Learning Experience,6a,Owen Love,27-02-23,Germany,Germany,Male,Business Function,10021,clara.gardner,ADMIN,1,[],,[PowerPoint],Germany,24-09-23,Director of Learning Experience,Owen Love,,Business Function
Alan Wilkerson,alan.wilkerson@domain.com,Creative Project Manager,2a,Marisol Alexander,06-09-21,Mexico,Mexico,Male,CPM,10022,alan.wilkerson,DESIGN_DIRECTOR,2,,[Branding],[],Mexico,01-09-22,Creative Project Manager,,1,CPM
Alan Wilkerson,alan.wilkerson@domain.com,Creative Project Manager,2a,Marisol Alexander,06-09-21,Mexico,Mexico,Male,CPM,10022,alan.wilkerson,DESIGN_DIRECTOR,2,,[Branding],[],Mexico,24-02-23,Creative Project Manager,,1,CPM
Alan Wilkerson,alan.wilkerson@domain.com,Creative Project Manager,2a,Marisol Alexander,06-09-21,Mexico,Mexico,Male,CPM,10022,alan.wilkerson,DESIGN_DIRECTOR,2,,[Branding],[],Mexico,17-03-23,Creative Project Manager,,1,CPM
Alan Wilkerson,alan.wilkerson@domain.com,Creative Project Manager,2a,Marisol Alexander,06-09-21,Mexico,Mexico,Male,CPM,10022,alan.wilkerson,DESIGN_DIRECTOR,2,,[Branding],[],Mexico,22-03-23,Creative Project Manager,,1,CPM
Alan Wilkerson,alan.wilkerson@domain.com,Creative Project Manager,2a,Marisol Alexander,06-09-21,Mexico,Mexico,Male,CPM,10022,alan.wilkerson,DESIGN_DIRECTOR,2,,[Branding],[],Mexico,05-06-23,Creative Project Manager,,2,CPM
Alan Wilkerson,alan.wilkerson@domain.com,Creative Project Manager,2a,Marisol Alexander,06-09-21,Mexico,Mexico,Male,CPM,10022,alan.wilkerson,DESIGN_DIRECTOR,2,,[Branding],[],Mexico,06-06-23,Creative Project Manager,,2,CPM
Alan Wilkerson,alan.wilkerson@domain.com,Creative Project Manager,2a,Marisol Alexander,06-09-21,Mexico,Mexico,Male,CPM,10022,alan.wilkerson,DESIGN_DIRECTOR,2,,[Branding],[],Mexico,23-09-23,Creative Project Manager,,2,CPM
Alan Wilkerson,alan.wilkerson@domain.com,Creative Project Manager,2a,Marisol Alexander,06-09-21,Mexico,Mexico,Male,CPM,10022,alan.wilkerson,DESIGN_DIRECTOR,2,,[Branding],[],Mexico,24-09-23,Creative Project Manager,Marisol Alexander,2,CPM
Janiyah Casey,janiyah.casey@domain.com,Creative Project Manager,1b,Dennis Schneider,07-08-23,Colombia,Colombia,Female,CPM,10023,janiyah.casey,DESIGN_DIRECTOR,1,[Original],[Film],"[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Colombia,24-09-23,Creative Project Manager,Dennis Schneider,1,CPM
Janiyah Casey,janiyah.casey@domain.com,Creative Project Manager,1b,Dennis Schneider,07-08-23,Colombia,Colombia,Female,CPM,10023,janiyah.casey,DESIGN_DIRECTOR,1,[Original],[Film],"[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Colombia,15-12-23,Creative Project Manager,Dennis Schneider,1a,CPM
Janiyah Casey,janiyah.casey@domain.com,Creative Project Manager,1b,Dennis Schneider,07-08-23,Colombia,Colombia,Female,CPM,10023,janiyah.casey,DESIGN_DIRECTOR,1,[Original],[Film],"[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Colombia,04-06-24,Creative Project Manager,Dennis Schneider,1a,CPM
Armando Merritt,armando.merritt@domain.com,Creative,3b,Rogelio Sandoval,02-08-21,Colombia,Colombia,Female,Creative,10024,armando.merritt,ADMIN,3,[],[Branding],[],Colombia,13-09-22,Creative,Rogelio Sandoval,4,Creative
Armando Merritt,armando.merritt@domain.com,Creative,3b,Rogelio Sandoval,02-08-21,Colombia,Colombia,Female,Creative,10024,armando.merritt,ADMIN,3,[],[Branding],[],Colombia,01-02-23,Creative,Rogelio Sandoval,5,Creative
Armando Merritt,armando.merritt@domain.com,Creative,3b,Rogelio Sandoval,02-08-21,Colombia,Colombia,Female,Creative,10024,armando.merritt,ADMIN,3,[],[Branding],[],Colombia,05-06-23,Creative,Rogelio Sandoval,5,Creative
